"Bus,  NumNodes, R1, X1, R0, X0, Z1, Z0, ""X1/R1"", ""X0/R0"""
200, 1,          0,          0,          0,          0,          0,          0,     1000,     1000
300, 1,          0,          0,          0,          0,          0,          0,     1000,     1000
